,Unnamed: 0,0-XNose,0-YNose,1-XNeck,1-YNeck,2-XRShoulder,2-YRShoulder,3-XRElbow,3-YRElbow,4-XRWrist,4-YRWrist,5-XLShoulder,5-YLShoulder,6-XLElbow,6-YLElbow,7-XLWrist,7-YLWrist,8-XMidHip,8-YMidHip,9-XRHip,9-YRHip,10-XRKnee,10-YRKnee,11-XRAnkle,11-YRAnkle,12-XLHip,12-YLHip,13-XLKnee,13-YLKnee,14-XLAnkle,14-YLAnkle,15-XREye,15-YREye,16-XLEye,16-YLEye,17-XREar,17-YREar,18-XLEar,18-YLEar,19-XLBigToe,19-YLBigToe,20-XLSmallToe,20-YLSmallToe,21-XLHeel,21-YLHeel,22-XRBigToe,22-YRBigToe,23-XRSmallToe,23-YRSmallToe,24-XRHeel,24-YRHeel,XHead,YHead,label
180,75,287.6,101.0,266.6,125.0,264.4,125.0,296.0,148.0,292.0,140.0,275.0,125.0,300.0,148.0,325.0,140.0,244.0,187.0,237.6,187.0,260.0,242.0,250.0,297.0,246.0,187.0,260.0,242.0,253.1,290.4111111111112,283.2,101.0,271.0,101.0,273.0,101.0,291.9703290577271,171.3579028295541,273.8826530612245,291.6453120420862,271.09761597969447,288.4104511666213,250.02926448202138,295.2222082710722,268.8,313.0,260.0,313.0,250.0,305.0,281.3540658115454,115.0715805659108,top
187,82,292.8181818181818,109.0,260.0,125.0,260.0,125.0,292.0,133.0,333.0,133.0,275.0,125.0,292.0,140.0,323.0,133.0,250.0,187.0,234.9090909090909,187.0,271.0,242.00051200000001,250.0,297.0,242.05785123966945,187.0,275.45454545454544,242.0,250.0,289.0,281.0,101.0,284.037037037037,131.39380196523052,271.0,109.0,291.9703290577271,171.3579028295541,277.8183673469388,292.13195798047343,271.09761597969447,286.39855916895783,247.35668295518843,293.6233640145845,271.0,305.0,260.0,305.0,250.0,305.0,284.16510958258914,124.35034095895692,top
193,88,292.0,109.0,260.0,125.0,260.0,125.0,300.1818181818182,133.0,323.0,125.0,275.0,125.0,302.0,133.0,323.0,125.0,240.0,187.0,240.0,187.0,268.79263711495116,242.00051200000001,250.0,305.0,242.36964688204358,187.0,273.6363636363636,242.0,250.0,289.0,281.0,109.0,290.3249900268749,159.43922971052868,271.0,101.0,291.9703290577271,171.3579028295541,271.0,294.53806169961643,271.0,288.0744897171194,243.18587432333018,300.0392312295972,271.0,305.0,260.0,313.0,250.0,305.0,285.2590638169204,129.95942650801655,top
199,94,292.0,109.0,260.0,125.0,260.0,125.0,292.0,133.0,323.0,133.0,275.0,125.0,301.6543951915853,140.0,323.0,133.0,250.0,187.0,240.0,187.0,268.90909090909093,242.0,250.0,305.0,250.0,187.0,272.72727272727275,242.0,250.0,297.0,281.0,101.0,291.87763610626394,158.45490122989153,271.0,101.0,291.9703290577271,171.3579028295541,271.0,297.0,271.0,288.0744897171194,250.0,305.0,271.0,311.54545454545456,260.0,312.72351615326824,250.0,305.0,285.5695930327982,128.16256081188914,top
205,100,292.0,109.0,260.0,125.0,260.0,125.0,292.0,140.0,333.0,133.0,275.0,125.0,292.0,140.0,323.0,133.0,250.0,187.0,240.0,187.0,270.6978748736797,242.0,250.0,297.0,250.0,187.0,273.6363636363636,242.0,250.0,292.6363636363636,281.0,101.0,291.99848933464517,153.67228273123322,271.0,109.0,291.9703290577271,171.3579028295541,271.0,294.5233432420772,271.0,288.0744897171194,250.0,296.19191919191917,271.0,305.0,260.0,305.0,250.0,305.0,285.59376367847443,128.80603711215747,top
211,106,292.0,109.0,260.0,125.0,260.0,125.0,292.0,140.0,333.0,133.0,275.0,125.0,292.0,140.0,323.0,133.0,235.9090909090909,187.0,240.0,187.0,268.0,242.00051200000001,250.0,297.0,250.0,187.0,275.45454545454544,242.0,250.0,289.0,281.0,101.0,291.99997901853675,144.45378170460046,271.0,101.0,291.9703290577271,171.3579028295541,276.6736154787265,296.2990373997054,271.01314372611813,288.0744897171194,246.5555555555556,295.3111111111112,271.0,305.0,260.0,305.0,250.0,305.0,285.59406161525277,125.3623369068309,top
217,112,292.0,117.0,269.0,125.0,260.0,125.0,292.0,140.0,333.0,133.0,270.6198347107438,125.0,300.1818181818182,140.0,323.0,133.0,250.0,187.0,235.9090909090909,187.0,260.0,242.00051200000001,250.0,297.0,250.0,187.0,275.45454545454544,242.0,250.0,297.0,281.0,109.0,293.111108520807,143.8584915684692,271.0,109.0,291.9703290577271,171.3579028295541,271.0,297.0,271.0,289.0,250.0,305.0,271.0,305.0,260.0,305.0,250.0,305.0,285.8162875157068,130.04327887960466,top
222,117,292.0,125.0,271.0,140.0,260.0,133.0,300.27272727272725,133.0,333.0,140.0,271.0,140.0,302.0,148.0,333.0,140.0,240.0,195.0,240.0,203.0,260.0,242.0,250.0,297.0,250.0,195.0,271.0,242.0,250.0,289.0,281.0,117.0,292.0,117.0,271.0,117.0,291.9703290577271,171.3579028295541,281.0,289.0,271.0,289.0,250.0,297.0,271.0,305.0,260.0,305.0,250.0,297.0,285.5940658115454,129.4715805659108,top
229,124,292.0,117.0,271.0,133.0,260.0,125.0,302.0,140.0,333.0,133.0,271.0,133.0,302.0,140.0,323.0,133.0,250.0,187.0,240.0,195.0,260.0,242.0,250.0,305.0,250.0,187.0,260.0,242.0,250.0,297.0,281.0,109.0,290.660108023792,151.9836314206835,271.0,109.0,291.9703290577271,171.3579028295541,274.0430716738028,298.1434973856908,271.09761597969447,288.0744897171194,245.6172839506173,293.5037037037037,271.0,305.0,260.0,305.0,240.0,305.0,285.32608741630384,131.66830685004751,top
235,130,292.0,109.0,271.0,125.0,260.0,125.0,302.0,140.0,333.0,133.0,271.0,133.0,302.0,140.0,333.0,133.0,240.39999910243978,195.0,250.0,195.0,260.0,242.00051200000001,250.0,297.0,250.0,187.0,260.0,242.0,250.0,289.0,281.0,109.0,292.0,109.0,271.0,109.0,291.9703290577271,171.3579028295541,277.0733003889456,289.38899781909316,271.09761597969447,288.0744897171194,240.0,297.0,271.0,313.0,260.0,313.0,250.0,305.0,285.5940658115454,121.47158056591081,top
