,0-XNose,0-YNose,1-XNeck,1-YNeck,2-XRShoulder,2-YRShoulder,3-XRElbow,3-YRElbow,4-XRWrist,4-YRWrist,5-XLShoulder,5-YLShoulder,6-XLElbow,6-YLElbow,7-XLWrist,7-YLWrist,8-XMidHip,8-YMidHip,9-XRHip,9-YRHip,10-XRKnee,10-YRKnee,11-XRAnkle,11-YRAnkle,12-XLHip,12-YLHip,13-XLKnee,13-YLKnee,14-XLAnkle,14-YLAnkle,15-XREye,15-YREye,16-XLEye,16-YLEye,17-XREar,17-YREar,18-XLEar,18-YLEar,19-XLBigToe,19-YLBigToe,20-XLSmallToe,20-YLSmallToe,21-XLHeel,21-YLHeel,22-XRBigToe,22-YRBigToe,23-XRSmallToe,23-YRSmallToe,24-XRHeel,24-YRHeel
41,876.6111111111111,98.63095238095238,847.3888888888889,170.96428571428572,826.1686507936507,172.7420634920635,962.2,141.69642857142856,1045.8,52.4,874.1666666666666,163.59920634920636,952.125,141.40145502645504,916.358024691358,94.24768518518518,844.7777777777778,365.1071428571429,856.4,367.3928571428571,867.6,501.2678571428571,807.7003968253969,641.0,806.2,334.4,923.104,512.1600000000001,946.0,641.0,848.6111111111111,83.18849206349206,878.1279999999999,85.24,850.8,105.01190476190476,890.0,116.6288,946.0,688.0,973.0,678.04,918.0,657.0,838.1448412698413,680.172619047619,823.5337301587301,673.0,807.7003968253969,649.3492063492063
42,879.4111111111112,106.53095238095239,844.5888888888888,178.7642857142857,834.4686507936507,180.5420634920635,962.2,118.4,1045.8,52.4,865.7666666666667,172.99920634920636,953.0,143.7445200302343,908.5249599700711,125.0,839.1777777777777,368.20714285714286,856.4,372.09285714285716,846.3480158730159,501.26785714285717,813.2003968253969,641.0,806.2,334.4,918.4373333333333,504.32666666666665,932.0,633.1666666666666,854.2111111111111,92.58849206349205,881.3536,86.688,824.0777777777778,112.91190476190476,890.0,121.35455999999999,941.3333333333334,675.0,963.8333333333334,667.54,908.6666666666666,649.1666666666666,854.8448412698414,678.672619047619,837.4337301587302,673.0,813.2003968253969,650.9492063492064
43,890.0,78.0,834.0,140.0,862.0,140.0,973.0,109.0,1057.0,62.0,834.0,140.0,952.6291666666667,109.0,904.5012345679013,107.14675925925926,822.8,328.0,856.4,344.0,862.0,485.0,834.0,641.0,834.0,328.0,918.4373333333333,499.89809523809527,920.0,626.4523809523808,862.0,62.0,879.6243200000001,88.4256,834.0,78.0,890.0,127.025472,937.3333333333333,663.8571428571429,955.9761904761905,656.3971428571429,900.6666666666667,640.1666666666666,918.0,673.0,890.0,673.0,834.0,657.0
44,890.0,78.0,834.0,156.0,862.0,156.0,973.0,109.0,1057.0,62.0,834.0,140.0,952.4375,173.34868669690098,899.9348148148149,104.67611111111111,834.0,344.0,834.0,344.0,862.0,485.0,834.0,641.0,806.0,329.28000000000003,918.4373333333333,494.02309523809527,913.0,618.702380952381,862.0,62.0,877.5491840000001,90.51071999999999,834.0,78.0,890.0,122.51056640000002,933.8333333333334,654.1071428571429,949.1011904761905,648.5221428571429,893.6666666666666,630.4166666666666,918.0,673.0,890.0,673.0,834.0,657.0
45,890.0,109.0,834.0,172.0,862.0,172.0,946.0,140.0,1029.0,78.0,834.0,172.0,951.8541666666666,189.62337805492567,895.0773333333333,105.02799999999999,806.0,360.0,834.0,360.0,890.0,485.0,834.0,641.0,806.0,334.4,916.5928888888889,488.80087301587304,906.7777777777778,613.4801587301587,862.0,93.0,878.4190208,88.01286400000001,834.0,109.0,890.0,121.10867968,930.7222222222222,645.4404761904763,942.9900793650793,640.8554761904762,890.625,627.09375,918.0,673.0,890.0,673.0,834.0,657.0
46,890.0,90.4,834.0,152.6,862.0,152.6,946.0,118.4,1029.0,52.4,834.0,152.6,946.0,172.0,913.1452345679013,128.34975925925926,806.0,347.0,856.4,343.8,890.0,487.8,834.0,641.0,834.0,334.4,915.7008888888889,484.4208730158731,898.3777777777777,608.7801587301586,862.0,74.6,879.01482496,87.77543680000001,834.0,90.4,890.0,121.725615616,927.9222222222222,637.6404761904762,937.4900793650795,634.1354761904762,887.203125,623.35546875,918.0,673.0,890.0,673.0,834.0,657.0
47,890.0,90.4,834.0,152.6,862.0,152.6,946.0,118.4,1029.0,52.4,834.0,152.6,950.6291666666666,224.1716584782061,912.6097695473251,134.03343827160492,806.0,347.0,856.4,343.8,890.0,487.8,834.0,641.0,834.0,334.4,917.5311515151516,469.0,862.0,594.0,890.0,74.6,879.192189952,88.28252416000001,834.0,90.4,890.0,122.7449787392,918.0,610.0,918.0,610.0,862.0,610.0,918.0,673.0,890.0,673.0,834.0,657.0
48,890.0,90.4,834.0,152.6,862.0,152.6,946.0,118.4,1029.0,52.4,834.0,152.6,946.0,250.0,940.466912404468,151.89058112874778,806.0,347.0,856.4,343.8,890.0,487.8,834.0,657.0,834.0,334.4,918.0,469.0,862.0,594.0,890.0,74.6,878.7599079424001,88.601428992,834.0,90.4,890.0,123.02306248704,918.0,610.0,918.0,610.0,862.0,594.0,918.0,673.0,890.0,673.0,834.0,657.0
49,890.0,90.4,862.0,152.6,862.0,152.6,946.0,118.4,1029.0,52.4,834.0,152.6,946.0,281.0,945.6048663811204,158.28255568153187,834.0,347.0,856.4,343.8,890.0,487.8,834.0,657.0,806.2,334.4,918.0,469.0,890.0,579.0,890.0,74.6,878.58702553088,88.6365947904,834.0,90.4,890.0,122.222580584448,918.0,610.0,918.0,610.0,862.0,579.0,918.0,673.0,890.0,673.0,834.0,657.0
50,890.0,90.4,862.0,152.6,862.0,152.6,973.0,118.4,1029.0,52.4,834.0,152.6,946.0,297.0,961.7380145292684,166.69804179264298,834.0,347.0,856.4,343.8,867.6,487.8,834.0,657.0,806.2,334.4,918.0,469.0,890.0,594.0,890.0,74.6,878.7945938370561,88.26176974848,834.0,90.4,890.0,122.1649834213376,918.0,610.0,918.0,610.0,872.765625,606.68984375,918.0,673.0,890.0,673.0,834.0,657.0
