,0-XNose,0-YNose,1-XNeck,1-YNeck,2-XRShoulder,2-YRShoulder,3-XRElbow,3-YRElbow,4-XRWrist,4-YRWrist,5-XLShoulder,5-YLShoulder,6-XLElbow,6-YLElbow,7-XLWrist,7-YLWrist,8-XMidHip,8-YMidHip,9-XRHip,9-YRHip,10-XRKnee,10-YRKnee,11-XRAnkle,11-YRAnkle,12-XLHip,12-YLHip,13-XLKnee,13-YLKnee,14-XLAnkle,14-YLAnkle,15-XREye,15-YREye,16-XLEye,16-YLEye,17-XREar,17-YREar,18-XLEar,18-YLEar,19-XLBigToe,19-YLBigToe,20-XLSmallToe,20-YLSmallToe,21-XLHeel,21-YLHeel,22-XRBigToe,22-YRBigToe,23-XRSmallToe,23-YRSmallToe,24-XRHeel,24-YRHeel,RightKneeAngle,LeftKneeAngle,LeftHeelAngleAngle,RightHeelAngleAngle,HipAngle,time
20,292.0,65.2,295.8,125.0,250.0,125.0,240.0,156.0,218.6,262.4,347.8,115.4,373.0,187.6,381.6,257.8,296.0,257.8,250.0,195.0,250.0,334.8,250.0,297.0,329.2,256.2,315.0,333.2,250.0,289.0,281.0,57.4,302.4,52.8,260.84000000000003,60.6,312.6,57.4,271.0,289.0,271.0,281.0,250.0,289.0,271.0,305.0,260.0,313.0,240.0,305.0,0.0,66.23313616812784,172.00958368577022,119.73259397576815,169.86713109956176,1550516378.5871453
21,281.0,65.2,295.8,125.0,250.0,125.0,240.0,156.0,218.6,262.4,347.8,115.4,373.0,187.6,381.6,257.8,296.0,257.8,250.0,195.0,250.0,334.8,250.0,297.0,329.2,256.2,315.0,333.2,250.0,297.0,281.0,57.4,302.4,52.8,260.84000000000003,60.6,312.6,57.4,271.0,289.45616883116884,271.0,286.52272727272725,249.86326070623593,297.0,271.0,305.0,260.0,313.0,250.0,305.0,0.0,71.33439528902707,171.98137978244216,117.29957221133282,169.86713109956176,1550516378.5871453
22,281.0,65.2,295.8,125.0,250.0,125.0,250.0,156.0,218.6,262.4,347.8,115.4,373.0,187.6,381.6,257.8,296.0,257.8,250.0,257.8,260.0,334.8,250.0,297.0,329.2,256.2,315.0,333.2,250.0,289.0,281.0,57.4,302.4,52.8,260.0,60.6,312.6,57.4,271.0,289.0,271.0,286.3333333333333,249.58677685950414,297.0,271.0,305.0,260.0,311.54545454545456,250.0,305.0,7.41855259099377,66.23313616812784,171.26843537869277,131.61762744633896,173.54876257010991,1550516378.5871453
23,281.0,65.2,295.8,125.0,250.0,125.0,250.0,164.0,218.6,262.4,347.8,115.4,373.0,187.6,381.6,257.8,296.0,257.8,250.0,257.8,260.0,334.8,250.0,297.0,329.2,256.2,315.0,333.2,250.0,297.0,271.0,57.4,302.4,52.8,260.0,60.6,312.6,57.4,271.0,290.14285714285717,271.0,286.3333333333333,250.0,305.0,271.0,305.0,260.0,313.0,250.0,305.0,7.41855259099377,71.33439528902707,166.48834583701958,133.78084442266203,173.54876257010991,1550516378.5871453
24,291.6,65.2,295.8,125.0,250.0,125.0,250.0,164.0,218.6,262.4,347.8,115.4,373.0,187.6,381.6,257.8,296.0,257.8,250.0,257.8,260.0,334.8,250.0,305.0,329.2,256.2,315.0,333.2,250.0,297.0,271.0,57.4,302.4,52.8,260.0,60.6,312.6,57.4,271.0,290.1428571428571,271.0,286.3333333333333,250.0,305.0,271.0,305.0,260.0,313.0,250.0,305.0,11.150637266040647,71.33439528902707,166.4883458370195,123.02052602599363,173.54876257010991,1550516378.5871453
25,291.6,65.2,295.8,125.0,250.0,125.0,250.0,164.0,218.6,262.4,347.8,115.4,373.0,187.6,381.6,257.8,296.0,257.8,250.0,257.8,250.0,334.8,250.0,305.0,329.2,256.2,315.0,333.2,250.0,297.0,276.3636363636364,57.4,302.4,52.8,260.84000000000003,60.6,312.6,57.4,271.0,290.2857142857143,271.0,287.0,250.0,305.0,271.0,305.0,260.0,313.0,250.0,305.0,0.0,71.33439528902707,167.35693436504562,104.4702941000659,169.86713109956176,1550516378.5871453
26,291.6,65.2,295.8,125.0,250.0,125.0,250.0,164.0,218.6,262.4,347.8,115.4,373.0,164.0,381.6,257.8,296.0,257.8,250.0,195.0,250.0,334.8,250.0,305.0,329.2,256.2,315.0,333.2,250.0,297.0,271.0,57.4,302.4,52.8,260.0,60.6,312.6,57.4,271.0,290.44642857142856,271.0,287.75,250.0,305.0,271.0,305.0,260.0,313.0,250.0,305.0,0.0,71.33439528902707,168.3176564988203,104.4702941000659,169.86713109956176,1550516378.5871453
27,281.0,65.2,295.8,125.0,250.0,125.0,250.0,164.0,218.6,262.4,347.8,115.4,373.0,164.0,381.6,257.8,296.0,257.8,250.0,195.0,250.0,334.8,250.0,297.0,329.2,256.2,315.0,333.2,250.0,289.0,281.0,57.4,302.4,52.8,260.84000000000003,60.6,312.6,57.4,271.0,289.0,271.0,289.0,248.54545454545453,297.0,271.0,305.0,260.0,305.0,250.0,305.0,0.0,66.23313616812784,173.2548181693115,104.4702941000659,169.86713109956176,1550516378.5871453
28,281.0,65.2,295.8,125.0,250.0,125.0,250.0,164.0,218.6,262.4,347.8,115.4,373.0,187.6,381.6,257.8,296.0,257.8,250.0,195.0,250.0,334.8,250.0,297.0,329.2,256.2,315.0,333.2,250.0,289.0,281.0,57.4,302.4,52.8,260.84000000000003,60.6,312.6,57.4,271.0,289.0,271.0,286.57678787878785,250.0,297.0,271.0,305.0,260.0,305.0,250.0,305.0,0.0,66.23313616812784,171.66508038773821,104.4702941000659,169.86713109956176,1550516378.5871453
29,292.0,65.2,295.8,125.0,250.0,125.0,250.0,164.0,218.6,262.4,347.8,115.4,373.0,187.6,381.6,257.8,296.0,257.8,250.0,195.0,250.0,334.8,250.0,305.0,329.2,256.2,315.0,333.2,250.0,297.0,281.0,57.4,302.4,52.8,260.84000000000003,60.6,312.6,57.4,271.0,289.0,271.0,289.0,250.0,305.0,271.0,305.0,260.0,305.0,250.0,305.0,0.0,71.33439528902707,168.1119178805566,90.0,169.86713109956176,1550516378.5871453
30,292.0,65.2,295.8,125.0,250.0,125.0,250.0,164.0,218.6,262.4,347.8,115.4,373.0,187.6,381.6,257.8,296.0,257.8,250.0,195.0,250.0,334.8,250.0,305.0,329.2,256.2,315.0,333.2,250.0,289.0,281.0,57.4,302.4,52.8,260.84000000000003,60.6,312.6,57.4,271.0,289.5464285714286,271.0,286.75,248.33333333333334,302.3333333333333,271.0,305.0,260.0,305.0,250.0,305.0,0.0,66.23313616812784,167.853462050614,90.0,169.86713109956176,1550516378.5871453
